match,dayofweek,match_time,home_team,away_team,home_xg,away_xg,score,attendance,venue,referee,home_formation,away_formation,home_captain,away_captain,home_manager,away_manager,home_possession,away_possession,home_completed_passes,home_attempted_pases,away_completed_passes,away_attempted_pases,home_sot,away_sot,home_total_shots,away_total_shots,home_saves,away_saves,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_touches,away_touches,home_tackles,away_tackles,home_interceptions,away_interceptions,home_aerials_won,away_aerials_won,home_clearances,away_clearances,home_offsides,away_offsides,home_gks,away_gks,home_throw_ins,away_throw_ins,home_long_balls,away_long_balls
29,Mon,2022-11-28 13:00:00,Cameroon,Serbia,2.2,1.9,3–3,39789,Al Janoub Stadium,Mohammed Abdulla Hassan,4-3-3,3-4-3,Eric Maxim Choupo-Moting,Dušan Tadić,Rigobert Song,Dragan Stojković,41,59,271,390,437,556,8,5,13,15,2,5,8,13,4,3,19,21,491,663,8,16,19,5,15,13,22,18,0,4,9,4,24,20,82,59
30,Mon,2022-11-28 16:00:00,Korea Republic,Ghana,1.8,1.6,2–3,43983,Education City Stadium,Anthony Taylor,4-2-3-1,4-2-3-1,Son Heung-min,André Ayew,Paulo Bento,Otto Addo,63,37,494,601,270,351,6,3,22,7,0,4,13,9,12,5,46,15,695,494,15,17,2,6,22,18,19,50,1,1,3,10,23,13,89,64
31,Mon,2022-11-28 19:00:00,Brazil,Switzerland,1.0,0.3,1–0,43649,Stadium 974,Iván Barton,4-3-3,4-2-3-1,Thiago Silva,Granit Xhaka,Tite,Murat Yakin,54,46,511,604,423,517,5,0,13,6,0,4,10,17,8,3,25,9,710,616,21,18,10,4,8,5,9,26,3,1,2,10,24,18,43,55
32,Mon,2022-11-28 22:00:00,Portugal,Uruguay,1.3,1.3,2–0,88668,Lusail Iconic Stadium,Alireza Faghani,4-1-2-1-2,3-5-2,Cristiano Ronaldo,Diego Godín,Fernando Santos,Diego Alonso,59,41,525,643,315,438,2,3,14,11,3,1,10,16,6,2,15,17,735,533,10,12,7,12,15,7,17,12,3,0,8,11,19,18,72,49
33,Tue,2022-11-29 18:00:00,Ecuador,Senegal,0.9,2.1,1–2,44569,Khalifa International Stadium,Clément Turpin,4-3-3,4-2-3-1,Enner Valencia,Kalidou Koulibaly,Gustavo Alfaro,Aliou Cissé,61,39,365,482,203,312,4,2,9,13,1,3,23,11,3,6,21,21,580,427,15,10,7,10,21,17,19,29,0,3,9,6,23,17,77,71
34,Tue,2022-11-29 18:00:00,Netherlands,Qatar,1.6,0.1,2–0,66784,Al Bayt Stadium,Bakary Papa Gassama,3-4-1-2,5-3-2,Virgil van Dijk,Hassan Al-Haydos,Louis van Gaal,Félix Sánchez,63,37,739,814,364,451,4,3,13,5,3,2,19,9,4,2,6,14,913,521,16,9,10,12,10,7,11,9,5,0,7,9,13,9,41,75
35,Tue,2022-11-29 22:00:00,Wales,England,0.3,2.4,0–3,44297,Ahmed bin Ali Stadium,Slavko Vinčič,4-2-3-1,4-3-3,Gareth Bale,Harry Kane,Rob Page,Gareth Southgate,36,64,272,352,545,626,1,7,7,18,4,1,16,9,1,6,2,14,443,700,12,6,7,5,9,12,17,7,1,1,7,4,18,16,70,50
36,Tue,2022-11-29 22:00:00,IR Iran,United States,0.4,1.2,0–1,42127,Al Thumama Stadium,Antonio Matéu,4-4-1-1,4-3-3,Ehsan Hajsafi,Tyler Adams,Carlos Queiroz,Gregg Berhalter,49,51,385,508,417,524,0,5,4,12,4,0,14,10,1,5,16,20,619,646,22,12,12,5,18,18,18,21,2,1,7,6,21,22,92,69
37,Wed,2022-11-30 18:00:00,Australia,Denmark,0.6,0.6,1–0,41232,Al Janoub Stadium,Mustapha Ghorbal,4-4-2,4-3-3,Mathew Ryan,Christian Eriksen,Graham Arnold,Kasper Hjulmand,32,68,215,348,580,723,4,3,8,13,3,3,11,10,2,6,11,26,468,827,15,11,12,7,26,17,33,19,1,3,9,4,32,27,82,106
38,Wed,2022-11-30 18:00:00,Tunisia,France,0.5,0.8,1–0,43627,Education City Stadium,Matt Conger,3-4-3,4-3-3,Wahbi Khazri,Raphaël Varane,Jalel Kadri,Didier Deschamps,35,65,272,368,573,676,3,3,5,10,3,2,14,6,7,8,23,19,493,808,22,37,9,13,9,13,23,21,3,2,7,9,30,27,65,64
39,Wed,2022-11-30 22:00:00,Saudi Arabia,Mexico,1.1,2.3,1–2,84985,Lusail Iconic Stadium,Michael Oliver,4-4-2,4-2-3-1,Salem Al-Dawsari,Guillermo Ochoa,Hervé Renard,Tata Martino,40,60,192,329,357,494,2,10,10,26,8,1,20,18,1,8,9,31,453,616,15,16,8,7,18,18,28,12,2,6,13,11,26,23,79,87
40,Wed,2022-11-30 22:00:00,Poland,Argentina,0.3,3.5,0–2,44089,Stadium 974,Danny Makkelie,4-4-2,4-3-3,Robert Lewandowski,Lionel Messi,Czesław Michniewicz,Lionel Scaloni,27,73,264,341,827,911,0,10,4,22,8,0,6,11,1,9,5,18,447,996,17,13,7,5,7,12,29,9,0,1,6,2,16,18,71,39
41,Thu,2022-12-01 18:00:00,Canada,Morocco,1.4,0.5,1–2,43102,Al Thumama Stadium,Raphael Claus,4-4-1-1,4-3-3,Milan Borjan,Romain Saïss,John Herdman,Hoalid Regragui,58,42,480,573,309,404,0,2,5,6,0,0,14,14,6,2,19,8,659,501,13,23,7,12,10,7,8,22,4,4,5,6,23,20,50,64
42,Thu,2022-12-01 18:00:00,Croatia,Belgium,0.7,3.0,0–0,43984,Ahmed bin Ali Stadium,Anthony Taylor,4-3-3,4-2-3-1,Luka Modrić,Kevin De Bruyne,Zlatko Dalić,Roberto Martínez,49,51,508,616,545,638,4,3,11,16,3,4,7,9,2,4,21,24,703,743,9,14,6,7,10,10,24,25,4,0,7,8,27,15,73,79
43,Thu,2022-12-01 22:00:00,Japan,Spain,1.4,1.0,2–1,44851,Khalifa International Stadium,Victor Gomes,3-4-3,4-3-3,Maya Yoshida,Sergio Busquets,Hajime Moriyasu,Luis Enrique,18,82,165,245,995,1106,3,5,6,12,4,1,9,6,0,2,2,22,356,1157,11,11,17,3,10,9,26,5,2,2,5,5,11,22,41,69
