Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Pareja
Supercopa ,final,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,25',2:0,Left-footed shot,Xavi,Antonela Rocuzzo
Supercopa ,final,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,43',3:0,Right-footed shot,Dani Alves,Antonela Rocuzzo
Supercopa ,final,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,1,8/29/10,Away,FC Barcelona,Racing Santander,0:3,RW,3',0:1,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
Champions League ,Group Stage,9/14/10,Home,FC Barcelona,Panathinaikos Athens,5:1,CF,22',1:1,Left-footed shot,Xavi,Antonela Rocuzzo
Champions League ,Group Stage,9/14/10,Home,FC Barcelona,Panathinaikos Athens,5:1,CF,45',3:1,Left-footed shot,Pedro,Antonela Rocuzzo
LaLiga ,3,9/19/10,Away,FC Barcelona,Atlético de Madrid,1:2,CF,12',0:1,Left-footed shot,Pedro,Antonela Rocuzzo
LaLiga ,6,10/3/10,Home,FC Barcelona,RCD Mallorca,1:1,CF,20',1:0,Left-footed shot,Pedro,Antonela Rocuzzo
Champions League ,Group Stage,10/20/10,Home,FC Barcelona,FC Copenhagen,2:0,CF,18',1:0,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
Champions League ,Group Stage,10/20/10,Home,FC Barcelona,FC Copenhagen,2:0,CF,90'+1,2:0,Left-footed shot,Éric Abidal,Antonela Rocuzzo
LaLiga ,8,10/23/10,Away,FC Barcelona,Real Zaragoza,0:2,CF,41',0:1,Left-footed shot,David Villa,Antonela Rocuzzo
LaLiga ,8,10/23/10,Away,FC Barcelona,Real Zaragoza,0:2,CF,65',0:2,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,9,10/30/10,Home,FC Barcelona,Sevilla FC,5:0,RW,4',1:0,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,9,10/30/10,Home,FC Barcelona,Sevilla FC,5:0,RW,63',4:0,Left-footed shot,Not Applicable,Antonela Rocuzzo
