,POC,BussinessSegment,totalVolumen,SkuDistintosPromediosXOrden,SkuDistintosToTales,concentracion,nse,segmentoUnico,canal
1404,452802,PowerUsage,7.3771,5.6154,39,Medio,S/D,4.Activos,Kioscos/Maxikioscos
1406,453671,MediumUsage,253.94798,3.0769,32,Alto,S/D,4.Activos,Mayorista
1415,456617,MediumUsage,45.19182,5.1429,49,Medio,Medio,4.Activos,Autoservicio
1418,457666,MinimalUsage,4.51848,11.0,25,S/D,S/D,2.Masivos,BEBIDA
1419,457748,HighUsage,0.88866,4.6667,12,Alto,Bajo,4.Activos,Tradicional
1444,162815,MediumUsage,5.592319999999999,3.9231,20,Medio,Medio,1.Inactivos,Tradicional
1452,312838,MinimalUsage,2.65794,4.0,13,Bajo,Medio,1.Inactivos,Kioscos/Maxikioscos
1477,39080,MediumUsage,2.85708,5.8333,14,Medio,S/D,1.Inactivos,Tradicional
1487,403815,PowerUsage,5.33718,4.4643,27,Medio,Medio,4.Activos,Tradicional
1498,409124,MediumUsage,1.07482,3.625,14,Medio,Medio,4.Activos,Tradicional
1502,410909,PowerUsage,271.55614,12.8553,73,Alto,Medio,5.Select,Kioscos/Maxikioscos
1503,411760,MinimalUsage,1.84562,10.3333,25,Alto,S/D,2.Masivos,Tradicional
1509,416580,PowerUsage,15.630159999999998,12.1522,78,Alto,S/D,4.Activos,Tradicional
1512,421024,PowerUsage,19.623,6.275,69,Alto,Medio,4.Activos,Tradicional
1514,422417,MediumUsage,11.86038,11.6364,35,Alto,Medio,4.Activos,BEBIDA
1517,423274,PowerUsage,7.18868,6.45,40,Alto,Medio,4.Activos,Tradicional
1520,423547,MinimalUsage,2.99352,4.3333,8,Alto,Bajo,2.Masivos,Kioscos/Maxikioscos
1521,423978,MinimalUsage,1.77758,10.0,16,Medio,Medio,1.Inactivos,Tradicional
1539,434222,PowerUsage,6.433259999999999,5.3333,42,Alto,Medio,4.Activos,Tradicional
1545,437988,MediumUsage,12.95532,4.6364,34,Bajo,Bajo,2.Masivos,Tradicional
1547,439125,MediumUsage,5.06122,8.4,22,Alto,Medio,4.Activos,Tradicional
1558,447013,PowerUsage,267.55255000000005,5.2805,106,Medio,Medio,5.Select,Autoservicio
1559,447891,HighUsage,2.1041600000000003,3.9048,18,Medio,Medio,2.Masivos,Kioscos/Maxikioscos
1563,451361,HighUsage,9.48536,6.0,41,Medio,Bajo,4.Activos,Tradicional
1577,455603,HighUsage,0.9104,2.625,16,S/D,S/D,,
1618,24792,MinimalUsage,24.371520000000004,3.9412,34,Alto,Alto,4.Activos,Tradicional
1619,301340,MinimalUsage,0.05676,3.0,3,Alto,S/D,1.Inactivos,Kioscos/Maxikioscos
1631,35851,PowerUsage,5.9194,6.0,36,Alto,Medio,4.Activos,Kioscos/Maxikioscos
1634,36248,PowerUsage,1.62352,2.5833,10,Medio,Medio,4.Activos,Tradicional
1639,368207,PowerUsage,18.08586,6.6667,42,Medio,Bajo,4.Activos,Tradicional
1658,388326,MinimalUsage,14.762440000000002,12.9231,63,Medio,Medio,4.Activos,Tradicional
1672,405518,HighUsage,15.865980000000002,7.125,26,Medio,Medio,4.Activos,Tradicional
1680,409726,HighUsage,41.323220000000006,5.125,46,Medio,Medio,4.Activos,Autoservicio
1683,412277,PowerUsage,1.51662,3.5,12,Alto,Medio,4.Activos,Tradicional
1685,412704,PowerUsage,21.85728,5.625,39,Alto,Medio,4.Activos,Tradicional
1695,424928,PowerUsage,11.95824,6.4167,57,Medio,Medio,5.Select,Tradicional
1697,427299,MinimalUsage,5.9797,5.6,19,Medio,Medio,4.Activos,Kioscos/Maxikioscos
1699,427722,HighUsage,35.544079999999994,5.0833,20,Alto,Medio,4.Activos,COMIDA
