Tournament;Matchday;Date;Venue;Club;Opponent;Result;Position;Minute;When Scored;Goal Type;Assist;Pareja
LaLiga ;18;1/16/10;Home;FC Barcelona;Sevilla FC;04:00:00;RW;85';03:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;18;1/16/10;Home;FC Barcelona;Sevilla FC;04:00:00;RW;90'+1;04:00:00;Left-footed shot;Éric Abidal;Antonela Rocuzzo
LaLiga ;19;1/23/10;Away;FC Barcelona;Real Valladolid CF;00:03:00;RW;54';00:03:00;Left-footed shot;Zlatan Ibrahimovi?;Antonela Rocuzzo
LaLiga ;21;2/6/10;Home;FC Barcelona;Getafe CF;02:01:00;RW;7';01:00:00;Left-footed shot;Yaya Touré;Antonela Rocuzzo
LaLiga ;24;2/27/10;Home;FC Barcelona;Málaga CF;02:01:00;RW;84';02:01:00;Right-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;25;3/6/10;Away;FC Barcelona;UD Almería;02:02:00;RW;42';01:01:00;Direct free kick;Not Applicable;Antonela Rocuzzo
LaLiga ;25;3/6/10;Away;FC Barcelona;UD Almería;02:02:00;RW;66';02:02:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;26;3/14/10;Home;FC Barcelona;Valencia CF;03:00:00;CF;56';01:00:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;26;3/14/10;Home;FC Barcelona;Valencia CF;03:00:00;CF;80';02:00:00;Left-footed shot;Thierry Henry;Antonela Rocuzzo
LaLiga ;26;3/14/10;Home;FC Barcelona;Valencia CF;03:00:00;CF;82';03:00:00;Right-footed shot;Thierry Henry;Antonela Rocuzzo
Champions League ;last 16;3/17/10;Home;FC Barcelona;VfB Stuttgart;04:00:00;CF;13';01:00:00;Left-footed shot;Yaya Touré;Antonela Rocuzzo
Champions League ;last 16;3/17/10;Home;FC Barcelona;VfB Stuttgart;04:00:00;CF;56';03:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;27;3/21/10;Away;FC Barcelona;Real Zaragoza;02:04:00;RW;4';00:01:00;Header;Pedro;Antonela Rocuzzo
LaLiga ;27;3/21/10;Away;FC Barcelona;Real Zaragoza;02:04:00;RW;65';00:02:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;27;3/21/10;Away;FC Barcelona;Real Zaragoza;02:04:00;RW;78';00:03:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;30;4/3/10;Home;FC Barcelona;Athletic Bilbao;04:01:00;CF;67';04:00:00;Left-footed shot;Pedro;Antonela Rocuzzo
Champions League ;Quarter-Finals;4/6/10;Home;FC Barcelona;Arsenal FC;04:01:00;CF;21';01:01:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
Champions Legue ;Quarter-Finals;4/6/10;Home;FC Barcelona;Arsenal FC;04:01:00;CF;37';02:01:00;Right-footed shot;Pedro;Antonela Rocuzzo
Champions Legue ;Quarter-Finals;4/6/10;Home;FC Barcelona;Arsenal FC;04:01:00;CF;42';03:01:00;Left-footed shot;Seydou Keita;Antonela Rocuzzo
Champions Legue ;Quarter-Finals;4/6/10;Home;FC Barcelona;Arsenal FC;04:01:00;CF;88';04:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;31;4/10/10;Away;FC Barcelona;Real Madrid;00:02:00;CF;32';00:01:00;Right-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;35;5/1/10;Away;FC Barcelona;Villarreal CF;01:04:00;RW;18';00:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;35;5/1/10;Away;FC Barcelona;Villarreal CF;01:04:00;RW;87';01:04:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;36;5/4/10;Home;FC Barcelona;CD Tenerife;04:01:00;RW;16';01:00:00;Right-footed shot;Zlatan Ibrahimovi?;Antonela Rocuzzo
LaLiga ;36;5/4/10;Home;FC Barcelona;CD Tenerife;04:01:00;RW;90'+3;04:01:00;Right-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;37;5/8/10;Away;FC Barcelona;Sevilla FC;02:03:00;RW;5';00:01:00;Left-footed shot;Maxwell;Antonela Rocuzzo
LaLiga ;38;5/16/10;Home;FC Barcelona;Real Valladolid CF;04:00:00;RW;61';03:00:00;Right-footed shot;Yaya Touré;Antonela Rocuzzo
LaLiga ;38;5/16/10;Home;FC Barcelona;Real Valladolid CF;04:00:00;RW;74';04:00:00;Left-footed shot;Yaya Touré;Antonela Rocuzzo
Supercopa ;final;8/21/10;Home;FC Barcelona;Sevilla FC;04:00:00;RW;25';02:00:00;Left-footed shot;Xavi;Antonela Rocuzzo
Supercopa ;final;8/21/10;Home;FC Barcelona;Sevilla FC;04:00:00;RW;43';03:00:00;Right-footed shot;Dani Alves;Antonela Rocuzzo
Supercopa ;final;8/21/10;Home;FC Barcelona;Sevilla FC;04:00:00;RW;90'+1;04:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;1;8/29/10;Away;FC Barcelona;Racing Santander;00:03:00;RW;3';00:01:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
Champions League ;Group Stage;9/14/10;Home;FC Barcelona;Panathinaikos Athens;05:01:00;CF;22';01:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
Champions League ;Group Stage;9/14/10;Home;FC Barcelona;Panathinaikos Athens;05:01:00;CF;45';03:01:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;3;9/19/10;Away;FC Barcelona;Atlético de Madrid;01:02:00;CF;12';00:01:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;6;10/3/10;Home;FC Barcelona;RCD Mallorca;01:01:00;CF;20';01:00:00;Left-footed shot;Pedro;Antonela Rocuzzo
Champions League ;Group Stage;10/20/10;Home;FC Barcelona;FC Copenhagen;02:00:00;CF;18';01:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
Champions League ;Group Stage;10/20/10;Home;FC Barcelona;FC Copenhagen;02:00:00;CF;90'+1;02:00:00;Left-footed shot;Éric Abidal;Antonela Rocuzzo
LaLiga ;8;10/23/10;Away;FC Barcelona;Real Zaragoza;00:02:00;CF;41';00:01:00;Left-footed shot;David Villa;Antonela Rocuzzo
LaLiga ;8;10/23/10;Away;FC Barcelona;Real Zaragoza;00:02:00;CF;65';00:02:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
